Country.Name,year,GDP
Barbados,X1964,NA
Brunei,X1964,NA
Bhutan,X1964,NA
Botswana,X1964,41613969.05
Central African Republic,X1964,142025069.5
Canada,X1964,48882938810
Switzerland,X1964,14480556572
Channel Islands,X1964,NA
Chile,X1964,5982347826
China,X1964,59708343489
Ivory Coast,X1964,921063266.4
Cameroon,X1964,782384527.8
Democratic Republic of the Congo,X1964,2881545273
Republic of Congo,X1964,185693724.8
Colombia,X1964,5992169467
Comoros,X1964,NA
Cape Verde,X1964,NA
Costa Rica,X1964,542578367.2
Cuba,X1964,NA
Curacao,X1964,NA
Cayman Islands,X1964,NA
Cyprus,X1964,NA
Czech Republic,X1964,NA
Germany,X1964,NA
Djibouti,X1964,NA
Dominica,X1964,NA
Denmark,X1964,9506678763
Dominican Republic,X1964,1025599900
Algeria,X1964,2909351793
Ecuador,X1964,1156150890
Egypt,X1964,NA
Eritrea,X1964,NA
Spain,X1964,21343844644
Estonia,X1964,NA
Ethiopia,X1964,NA
Finland,X1964,7766655086
Fiji,X1964,140032741.5
France,X1964,94906593388
Faroe Islands,X1964,NA
Micronesia,X1964,NA
Gabon,X1964,215679855.3
UK,X1964,93387598814
Georgia,X1964,NA
Ghana,X1964,1731296119
Gibraltar,X1964,NA
Guinea,X1964,NA
Gambia,X1964,NA
Guinea-Bissau,X1964,NA
Equatorial Guinea,X1964,12712471.4
Greece,X1964,6680298251
Grenada,X1964,NA
Greenland,X1964,NA
Guatemala,X1964,1299099900
Guam,X1964,NA
Guyana,X1964,194773376.9
"Hong Kong SAR, China",X1964,2206466461
Honduras,X1964,4.57E+08
Croatia,X1964,NA
Haiti,X1964,NA
Hungary,X1964,NA
Indonesia,X1964,NA
Isle of Man,X1964,NA
India,X1964,55726873084
Ireland,X1964,2766608946
Iran,X1964,5379845647
Iraq,X1964,2340521143
Iceland,X1964,434267936.9
Israel,X1964,3405333333
Italy,X1964,63175417019
Jamaica,X1964,897931401.4
Jordan,X1964,NA
Japan,X1964,81749006382
Kazakhstan,X1964,NA
Kenya,X1964,998759333.6
Kyrgyzstan,X1964,NA
Cambodia,X1964,782857128.6
Kiribati,X1964,NA
St. Kitts and Nevis,X1964,13416554.86
South Korea,X1964,3458518494
Kuwait,X1964,NA
Laos,X1964,NA
Lebanon,X1964,NA
Liberia,X1964,218929100
Libya,X1964,NA
Saint Lucia,X1964,NA
Liechtenstein,X1964,NA
Sri Lanka,X1964,1309747899
Lesotho,X1964,51938961.22
Lithuania,X1964,NA
Luxembourg,X1964,903158753.9
Latvia,X1964,NA
"Macao SAR, China",X1964,NA
Saint Martin,X1964,NA
Morocco,X1964,2798339769
Monaco,X1964,NA
